country,publication_count,status
us,7,hal_metadata_if_available
fr,6,hal_metadata_if_available
cn,5,hal_metadata_if_available
ro,4,hal_metadata_if_available
kr,3,hal_metadata_if_available
ae,3,hal_metadata_if_available
at,3,hal_metadata_if_available
it,2,hal_metadata_if_available
sg,2,hal_metadata_if_available
pt,2,hal_metadata_if_available
jp,1,hal_metadata_if_available
au,1,hal_metadata_if_available
de,1,hal_metadata_if_available
se,1,hal_metadata_if_available
pl,1,hal_metadata_if_available
es,1,hal_metadata_if_available
ar,1,hal_metadata_if_available
is,1,hal_metadata_if_available
