venue,venue_type,publication_count
IEEE Robotics and Automation Letters,journal,3
IROS 2025 - IEEE/RSJ International Conference on Intelligent Robots and Systems,conference,3
IEEE Transactions on Intelligent Transportation Systems,journal,2
"ICRA 2026 - Workshop on ""Geometry in the Age of Data‑Driven Robotics""",conference,2
IROS 2024 - IEEE/RSJ International Conference on Intelligent Robots and Systems,conference,2
IV 2025 - IEEE Intelligent Vehicles Symposium,conference,2
IV 2024 - IEEE Intelligent Vehicles Symposium,conference,2
ITSC 2022 - 25th IEEE Intelligent Transportation Systems Conference,conference,1
IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 2025),conference,1
IJCNN 2025 - International Joint Conference on Neural Networks,conference,1
IROS 2022 - 2022 IEEE/RSJ International Conference on Intelligent Robots and Systems,conference,1
IROS 2023 - IEEE/RSJ International Conference on Intelligent Robots and Systems,conference,1
IROS 2024: Standing the Test of Time Workshop - IEEE/RSJ International Conference on Intelligent Robots and Systems,conference,1
ISMIS 2024 - 27th International Symposium on Methodologies for Intelligent Systems,conference,1
12th IFAC Symposium on Intelligent Autonomous Vehicles (IAV 2025),conference,1
IEEE Transactions on Robotics,journal,1
IV 2025 - IEEE Intelligent vehicles symposium,conference,1
"International Conference on Computer Vision, ICCV 2025",conference,1
International Conference on Methods and Models in Automation and Robotics,conference,1
International Journal On Advances in Systems and Measurements,journal,1
Journal of Intelligent Information Systems,journal,1
Journal of Mechanisms and Robotics,journal,1
SN Computer Science,journal,1
The Astrophysical Journal,journal,1
UTTAR PRADESH JOURNAL OF ZOOLOGY,journal,1
ITSC 2023 - 26th IEEE International Conference on Intelligent Transportation Systems,conference,1
IEEE Sensors Journal,journal,1
"17th International Conference on Control, Automation, Robotics and Vision",conference,1
IEEE IV 2026 - IEEE Intelligent Vehicles Symposium,conference,1
2022 IEEE Intelligent Vehicles Symposium (IV),conference,1
"21st International Conference on Informatics in Control, Automation and Robotics (ICINCO 2024)",conference,1
22nd European Control Conference (ECC 2024),conference,1
23rd International Conference on Image Analysis and Processing – ICIAP 2025,conference,1
28th IEEE International Conference on Intelligent Transportation Systems (ITSC 2025),conference,1
36th IEEE Intelligent Vehicles Symposium (IV 2025),conference,1
CAID 2023 - 5e Conference on Artificial Intelligence for Defense,conference,1
Colloque Le Pont,conference,1
Conference on Artificial Intelligence for Defense,conference,1
ECC 2026 - European Control Conference,conference,1
EUSIPCO 2024 - 32th European signal processing conference,conference,1
ICAR 2025 - 22nd International Conference on Advanced Robotics,conference,1
"ICARCV 2022 - 17th International Conference on Control, Automation, Robotics and Vision",conference,1
ICAS 2025 - International Conference on Autonomic and Autonomous Systems,conference,1
"ICASSP 2024 - IEEE International Conference on Acoustics, Speech and Signal Processing",conference,1
ICCV 2025 - International Conference on Computer Vision,conference,1
ICRA 2022 - IEEE International Conference on Robotics and Automation,conference,1
ICRA 2025 - International Conference on Robotics and Automation,conference,1
ICRA 2026 - IEEE International Conference on Robotics and Automation,conference,1
WORLD FIRA 2023 - Forum international de la robotique agricole en action,conference,1
